"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Challenges","Challenges","Running water","6","0","4","0","0"
"Challenges","Challenges","Largest number","0","0","4","0","0"
"Challenges","Challenges","Combination sum","25","0","3","0","0"
"Challenges","Challenges","Adjacent square","8","0","2","0","0"
"","","","0","0","16","1","0"
"Training","Core","Group calculator","0","0","1","1","0"
"Challenges","Challenges","Spam clusterization","1","0","0","0","0"
"Challenges","Challenges","Marathon task score","0","0","5","0","0"
"Training","Core","Java","0","0","4","0","0"
"Challenges","Challenges","Spider move","0","0","5","0","0"
"Challenges","Challenges","New road system","0","0","3","0","0"
"Training","Core","Largest number","0","0","4","0","0"
"Challenges","Challenges","Road building","1","0","0","0","0"
"Challenges","Challenges","Fancy ride","0","0","1","0","0"
"Challenges","Challenges","Daily OHLC","0","1","0","0","0"
